LECROYHDO6034,16324,Waveform
Segments,1,SegmentSize,1252
Segment,TrigTime,TimeSinceSegment1
#1,10-Jul-2024 13:26:12,0                 
Time,Ampl
-1.6689e-07,-0.0148
-1.6649e-07,-0.0147
-1.6609e-07,-0.0147
-1.6569e-07,-0.0146
-1.6529e-07,-0.0147
-1.6489e-07,-0.0144
-1.6449e-07,-0.0146
-1.6409e-07,-0.0147
-1.6369e-07,-0.0145
-1.6329e-07,-0.0147
-1.6289e-07,-0.0149
-1.6249e-07,-0.0149
-1.6209e-07,-0.0153
-1.6169e-07,-0.0149
-1.6129e-07,-0.0151
-1.6089e-07,-0.015
-1.6049e-07,-0.0154
-1.6009e-07,-0.0154
-1.5969e-07,-0.0152
-1.5929e-07,-0.015
-1.5889e-07,-0.0148
-1.5849e-07,-0.0146
-1.5809e-07,-0.0149
-1.5769e-07,-0.0146
-1.5729e-07,-0.0143
-1.5689e-07,-0.0142
-1.5649e-07,-0.0143
-1.5609e-07,-0.0143
-1.5569e-07,-0.0143
-1.5529e-07,-0.014
-1.5489e-07,-0.0141
-1.5449e-07,-0.0138
-1.5409e-07,-0.0139
-1.5369e-07,-0.0138
-1.5329e-07,-0.0141
-1.5289e-07,-0.0142
-1.5249e-07,-0.0144
-1.5209e-07,-0.0142
-1.5169e-07,-0.0146
-1.5129e-07,-0.0148
-1.5089e-07,-0.0149
-1.5049e-07,-0.0146
-1.5009e-07,-0.0146
-1.4969e-07,-0.0146
-1.4929e-07,-0.0148
-1.4889e-07,-0.0145
-1.4849e-07,-0.0145
-1.4809e-07,-0.0141
-1.4769e-07,-0.0141
-1.4729e-07,-0.014
-1.4689e-07,-0.0143
-1.4649e-07,-0.0141
-1.4609e-07,-0.0141
-1.4569e-07,-0.0136
-1.4529e-07,-0.0137
-1.4489e-07,-0.0134
-1.4449e-07,-0.0134
-1.4409e-07,-0.0132
-1.4369e-07,-0.0135
-1.4329e-07,-0.0134
-1.4289e-07,-0.0133
-1.4249e-07,-0.0134
-1.4209e-07,-0.0136
-1.4169e-07,-0.0136
-1.4129e-07,-0.0136
-1.4089e-07,-0.0136
-1.4049e-07,-0.0138
-1.4009e-07,-0.0137
-1.3969e-07,-0.0137
-1.3929e-07,-0.0135
-1.3889e-07,-0.0139
-1.3849e-07,-0.014
-1.3809e-07,-0.0138
-1.3769e-07,-0.0138
-1.3729e-07,-0.0138
-1.3689e-07,-0.0133
-1.3649e-07,-0.0136
-1.3609e-07,-0.0133
-1.3569e-07,-0.0135
-1.3529e-07,-0.0133
-1.3489e-07,-0.0129
-1.3449e-07,-0.0128
-1.3409e-07,-0.013
-1.3369e-07,-0.0128
-1.3329e-07,-0.0126
-1.3289e-07,-0.0125
-1.3249e-07,-0.0126
-1.3209e-07,-0.013
-1.3169e-07,-0.0132
-1.3129e-07,-0.0127
-1.3089e-07,-0.0127
-1.3049e-07,-0.0128
-1.3009e-07,-0.0129
-1.2969e-07,-0.013
-1.2929e-07,-0.013
-1.2889e-07,-0.0131
-1.2849e-07,-0.013
-1.2809e-07,-0.0127
-1.2769e-07,-0.0128
-1.2729e-07,-0.0129
-1.2689e-07,-0.013
-1.2649e-07,-0.0132
-1.2609e-07,-0.013
-1.2569e-07,-0.013
-1.2529e-07,-0.0128
-1.2489e-07,-0.0127
-1.2449e-07,-0.0126
-1.2409e-07,-0.0126
-1.2369e-07,-0.0128
-1.2329e-07,-0.0124
-1.2289e-07,-0.0125
-1.2249e-07,-0.0126
-1.2209e-07,-0.012
-1.2169e-07,-0.012
-1.2129e-07,-0.0119
-1.2089e-07,-0.0118
-1.2049e-07,-0.0117
-1.2009e-07,-0.0119
-1.1969e-07,-0.0119
-1.1929e-07,-0.012
-1.1889e-07,-0.0118
-1.1849e-07,-0.0121
-1.1809e-07,-0.0124
-1.1769e-07,-0.0127
-1.1729e-07,-0.0126
-1.1689e-07,-0.0124
-1.1649e-07,-0.0122
-1.1609e-07,-0.012
-1.1569e-07,-0.0124
-1.1529e-07,-0.0122
-1.1489e-07,-0.0126
-1.1449e-07,-0.0122
-1.1409e-07,-0.0121
-1.1369e-07,-0.0121
-1.1329e-07,-0.0123
-1.1289e-07,-0.0118
-1.1249e-07,-0.0119
-1.1209e-07,-0.0117
-1.1169e-07,-0.0113
-1.1129e-07,-0.0112
-1.1089e-07,-0.011
-1.1049e-07,-0.0109
-1.1009e-07,-0.0113
-1.0969e-07,-0.0111
-1.0929e-07,-0.011
-1.0889e-07,-0.0106
-1.0849e-07,-0.0111
-1.0809e-07,-0.0112
-1.0769e-07,-0.0113
-1.0729e-07,-0.0113
-1.0689e-07,-0.0115
-1.0649e-07,-0.0114
-1.0609e-07,-0.0113
-1.0569e-07,-0.0113
-1.0529e-07,-0.0116
-1.0489e-07,-0.0113
-1.0449e-07,-0.0113
-1.0409e-07,-0.0112
-1.0369e-07,-0.0112
-1.0329e-07,-0.0108
-1.0289e-07,-0.0109
-1.0249e-07,-0.0103
-1.0209e-07,-0.0106
-1.0169e-07,-0.0105
-1.0129e-07,-0.0104
-1.0089e-07,-0.0101
-1.0049e-07,-0.0102
-1.0009e-07,-0.0103
-9.96902e-08,-0.0099
-9.92902e-08,-0.0097
-9.88902e-08,-0.0103
-9.84902e-08,-0.0102
-9.80902e-08,-0.0102
-9.76902e-08,-0.0102
-9.72902e-08,-0.0106
-9.68902e-08,-0.0108
-9.64902e-08,-0.0105
-9.60902e-08,-0.0103
-9.56902e-08,-0.0106
-9.52902e-08,-0.0105
-9.48902e-08,-0.0105
-9.44902e-08,-0.0105
-9.40902e-08,-0.0106
-9.36902e-08,-0.0106
-9.32902e-08,-0.0105
-9.28902e-08,-0.0101
-9.24902e-08,-0.0104
-9.20902e-08,-0.0101
-9.16902e-08,-0.0099
-9.12902e-08,-0.0099
-9.08902e-08,-0.0099
-9.04902e-08,-0.0096
-9.00902e-08,-0.0096
-8.96902e-08,-0.0092
-8.92902e-08,-0.0096
-8.88902e-08,-0.0096
-8.84902e-08,-0.0092
-8.80902e-08,-0.0089
-8.76902e-08,-0.0095
-8.72902e-08,-0.0095
-8.68902e-08,-0.0095
-8.64902e-08,-0.0095
-8.60902e-08,-0.0097
-8.56902e-08,-0.0093
-8.52902e-08,-0.0097
-8.48902e-08,-0.0097
-8.44902e-08,-0.0098
-8.40902e-08,-0.0097
-8.36902e-08,-0.0099
-8.32902e-08,-0.0092
-8.28902e-08,-0.0096
-8.24902e-08,-0.0091
-8.20902e-08,-0.0093
-8.16902e-08,-0.0091
-8.12902e-08,-0.0093
-8.08902e-08,-0.009
-8.04902e-08,-0.0092
-8.00902e-08,-0.0088
-7.96902e-08,-0.0091
-7.92902e-08,-0.0086
-7.88902e-08,-0.0086
-7.84902e-08,-0.0084
-7.80902e-08,-0.0086
-7.76902e-08,-0.0082
-7.72902e-08,-0.0081
-7.68902e-08,-0.0079
-7.64902e-08,-0.0083
-7.60902e-08,-0.0085
-7.56902e-08,-0.0087
-7.52902e-08,-0.0086
-7.48902e-08,-0.0085
-7.44902e-08,-0.0083
-7.40902e-08,-0.0084
-7.36902e-08,-0.0084
-7.32902e-08,-0.0084
-7.28902e-08,-0.0082
-7.24902e-08,-0.0084
-7.20902e-08,-0.008
-7.16902e-08,-0.0082
-7.12902e-08,-0.0079
-7.08902e-08,-0.008
-7.04902e-08,-0.008
-7.00902e-08,-0.0081
-6.96902e-08,-0.008
-6.92902e-08,-0.0077
-6.88902e-08,-0.0073
-6.84902e-08,-0.0074
-6.80902e-08,-0.0076
-6.76902e-08,-0.0077
-6.72902e-08,-0.0074
-6.68902e-08,-0.0074
-6.64902e-08,-0.0069
-6.60902e-08,-0.0071
-6.56902e-08,-0.0068
-6.52902e-08,-0.0073
-6.48902e-08,-0.0072
-6.44902e-08,-0.0072
-6.40902e-08,-0.0072
-6.36902e-08,-0.0074
-6.32902e-08,-0.0071
-6.28902e-08,-0.0071
-6.24902e-08,-0.007
-6.20902e-08,-0.0072
-6.16902e-08,-0.0071
-6.12902e-08,-0.0072
-6.08902e-08,-0.0071
-6.04902e-08,-0.0073
-6.00902e-08,-0.007
-5.96902e-08,-0.0072
-5.92902e-08,-0.007
-5.88902e-08,-0.0071
-5.84902e-08,-0.0071
-5.80902e-08,-0.0071
-5.76902e-08,-0.0071
-5.72902e-08,-0.0069
-5.68902e-08,-0.0067
-5.64902e-08,-0.0066
-5.60902e-08,-0.0063
-5.56902e-08,-0.006
-5.52902e-08,-0.0061
-5.48902e-08,-0.0062
-5.44902e-08,-0.0058
-5.40902e-08,-0.0056
-5.36902e-08,-0.0058
-5.32902e-08,-0.006
-5.28902e-08,-0.0058
-5.24902e-08,-0.0059
-5.20902e-08,-0.0059
-5.16902e-08,-0.0061
-5.12902e-08,-0.0058
-5.08902e-08,-0.0059
-5.04902e-08,-0.0058
-5.00902e-08,-0.0061
-4.96902e-08,-0.0062
-4.92902e-08,-0.0062
-4.88902e-08,-0.0061
-4.84902e-08,-0.0063
-4.80902e-08,-0.0059
-4.76902e-08,-0.0058
-4.72902e-08,-0.0057
-4.68902e-08,-0.0059
-4.64902e-08,-0.0056
-4.60902e-08,-0.0055
-4.56902e-08,-0.0052
-4.52902e-08,-0.0055
-4.48902e-08,-0.0052
-4.44902e-08,-0.0051
-4.40902e-08,-0.0046
-4.36902e-08,-0.005
-4.32902e-08,-0.0047
-4.28902e-08,-0.0048
-4.24902e-08,-0.0043
-4.20902e-08,-0.0046
-4.16902e-08,-0.0045
-4.12902e-08,-0.0049
-4.08902e-08,-0.0049
-4.04902e-08,-0.005
-4.00902e-08,-0.005
-3.96902e-08,-0.0051
-3.92902e-08,-0.005
-3.88902e-08,-0.005
-3.84902e-08,-0.0046
-3.80902e-08,-0.0045
-3.76902e-08,-0.0044
-3.72902e-08,-0.0046
-3.68902e-08,-0.0045
-3.64902e-08,-0.0045
-3.60902e-08,-0.0046
-3.56902e-08,-0.0046
-3.52902e-08,-0.0043
-3.48902e-08,-0.0041
-3.44902e-08,-0.004
-3.40902e-08,-0.0042
-3.36902e-08,-0.0038
-3.32902e-08,-0.0035
-3.28902e-08,-0.0035
-3.24902e-08,-0.0037
-3.20902e-08,-0.0038
-3.16902e-08,-0.0037
-3.12902e-08,-0.0037
-3.08902e-08,-0.0037
-3.04902e-08,-0.0034
-3.00902e-08,-0.0035
-2.96902e-08,-0.0032
-2.92902e-08,-0.0037
-2.88902e-08,-0.0036
-2.84902e-08,-0.0036
-2.80902e-08,-0.0037
-2.76902e-08,-0.0038
-2.72902e-08,-0.0037
-2.68902e-08,-0.0037
-2.64902e-08,-0.0034
-2.60902e-08,-0.0035
-2.56902e-08,-0.0032
-2.52902e-08,-0.0029
-2.48902e-08,-0.0028
-2.44902e-08,-0.003
-2.40902e-08,-0.0029
-2.36902e-08,-0.0031
-2.32902e-08,-0.0028
-2.28902e-08,-0.0029
-2.24902e-08,-0.0026
-2.20902e-08,-0.0028
-2.16902e-08,-0.0022
-2.12902e-08,-0.0023
-2.08902e-08,-0.0022
-2.04902e-08,-0.0023
-2.00902e-08,-0.0022
-1.96902e-08,-0.0025
-1.92902e-08,-0.0024
-1.88902e-08,-0.0026
-1.84902e-08,-0.0027
-1.80902e-08,-0.0024
-1.76902e-08,-0.0021
-1.72902e-08,-0.0022
-1.68902e-08,-0.0019
-1.64902e-08,-0.0022
-1.60902e-08,-0.0024
-1.56902e-08,-0.0025
-1.52902e-08,-0.002
-1.48902e-08,-0.0021
-1.44902e-08,-0.0019
-1.40902e-08,-0.002
-1.36902e-08,-0.0019
-1.32902e-08,-0.002
-1.28902e-08,-0.0019
-1.24902e-08,-0.0018
-1.20902e-08,-0.0015
-1.16902e-08,-0.0016
-1.12902e-08,-0.0012
-1.08902e-08,-0.0015
-1.04902e-08,-0.0015
-1.00902e-08,-0.0016
-9.69023e-09,-0.0015
-9.29023e-09,-0.0015
-8.89023e-09,-0.0011
-8.49023e-09,-0.0012
-8.09023e-09,-0.001
-7.69023e-09,-0.0011
-7.29023e-09,-0.0009
-6.89023e-09,-0.0012
