LECROYHDO6034,16324,Waveform
Segments,1,SegmentSize,1252
Segment,TrigTime,TimeSinceSegment1
#1,10-Jul-2024 13:26:50,0                 
Time,Ampl
-1.66524e-07,-0.0819
-1.66124e-07,-0.0816
-1.65724e-07,-0.0814
-1.65324e-07,-0.0809
-1.64924e-07,-0.0811
-1.64524e-07,-0.081
-1.64124e-07,-0.0812
-1.63724e-07,-0.0808
-1.63324e-07,-0.0809
-1.62924e-07,-0.0804
-1.62524e-07,-0.0803
-1.62124e-07,-0.08
-1.61724e-07,-0.0797
-1.61324e-07,-0.0794
-1.60924e-07,-0.0794
-1.60524e-07,-0.0793
-1.60124e-07,-0.0793
-1.59724e-07,-0.0792
-1.59324e-07,-0.0793
-1.58924e-07,-0.0788
-1.58524e-07,-0.079
-1.58124e-07,-0.0785
-1.57724e-07,-0.0788
-1.57324e-07,-0.0784
-1.56924e-07,-0.0786
-1.56524e-07,-0.078
-1.56124e-07,-0.0781
-1.55724e-07,-0.0781
-1.55324e-07,-0.078
-1.54924e-07,-0.0779
-1.54524e-07,-0.0778
-1.54124e-07,-0.0776
-1.53724e-07,-0.0775
-1.53324e-07,-0.077
-1.52924e-07,-0.0772
-1.52524e-07,-0.0766
-1.52124e-07,-0.0769
-1.51724e-07,-0.0765
-1.51324e-07,-0.0764
-1.50924e-07,-0.0759
-1.50524e-07,-0.0761
-1.50124e-07,-0.0757
-1.49724e-07,-0.0755
-1.49324e-07,-0.0756
-1.48924e-07,-0.0755
-1.48524e-07,-0.075
-1.48124e-07,-0.0752
-1.47724e-07,-0.0751
-1.47324e-07,-0.0752
-1.46924e-07,-0.075
-1.46524e-07,-0.0747
-1.46124e-07,-0.0745
-1.45724e-07,-0.0743
-1.45324e-07,-0.0739
-1.44924e-07,-0.0743
-1.44524e-07,-0.0739
-1.44124e-07,-0.0739
-1.43724e-07,-0.0734
-1.43324e-07,-0.0733
-1.42924e-07,-0.0737
-1.42524e-07,-0.0734
-1.42124e-07,-0.0731
-1.41724e-07,-0.0726
-1.41324e-07,-0.0725
-1.40924e-07,-0.0727
-1.40524e-07,-0.0723
-1.40124e-07,-0.0723
-1.39724e-07,-0.0718
-1.39324e-07,-0.0718
-1.38924e-07,-0.0711
-1.38524e-07,-0.0711
-1.38124e-07,-0.0713
-1.37724e-07,-0.0714
-1.37324e-07,-0.0708
-1.36924e-07,-0.0713
-1.36524e-07,-0.0709
-1.36124e-07,-0.0706
-1.35724e-07,-0.0704
-1.35324e-07,-0.0704
-1.34924e-07,-0.0702
-1.34524e-07,-0.0703
-1.34124e-07,-0.0697
-1.33724e-07,-0.0699
-1.33324e-07,-0.0697
-1.32924e-07,-0.0695
-1.32524e-07,-0.069
-1.32124e-07,-0.0688
-1.31724e-07,-0.0686
-1.31324e-07,-0.0686
-1.30924e-07,-0.0682
-1.30524e-07,-0.0681
-1.30124e-07,-0.0677
-1.29724e-07,-0.0677
-1.29324e-07,-0.0673
-1.28924e-07,-0.0677
-1.28524e-07,-0.0676
-1.28124e-07,-0.0674
-1.27724e-07,-0.0666
-1.27324e-07,-0.0667
-1.26924e-07,-0.0663
-1.26524e-07,-0.0666
-1.26124e-07,-0.066
-1.25724e-07,-0.066
-1.25324e-07,-0.066
-1.24924e-07,-0.0661
-1.24524e-07,-0.0656
-1.24124e-07,-0.0655
-1.23724e-07,-0.0653
-1.23324e-07,-0.0654
-1.22924e-07,-0.0651
-1.22524e-07,-0.065
-1.22124e-07,-0.0647
-1.21724e-07,-0.0646
-1.21324e-07,-0.064
-1.20924e-07,-0.0644
-1.20524e-07,-0.0637
-1.20124e-07,-0.0639
-1.19724e-07,-0.0634
-1.19324e-07,-0.0632
-1.18924e-07,-0.063
-1.18524e-07,-0.0629
-1.18124e-07,-0.0624
-1.17724e-07,-0.0625
-1.17324e-07,-0.0626
-1.16924e-07,-0.0624
-1.16524e-07,-0.062
-1.16124e-07,-0.062
-1.15724e-07,-0.0614
-1.15324e-07,-0.0614
-1.14924e-07,-0.0609
-1.14524e-07,-0.061
-1.14124e-07,-0.0607
-1.13724e-07,-0.0606
-1.13324e-07,-0.0604
-1.12924e-07,-0.0604
-1.12524e-07,-0.0599
-1.12124e-07,-0.06
-1.11724e-07,-0.0596
-1.11324e-07,-0.0597
-1.10924e-07,-0.0592
-1.10524e-07,-0.0595
-1.10124e-07,-0.0589
-1.09724e-07,-0.0587
-1.09324e-07,-0.0583
-1.08924e-07,-0.0586
-1.08524e-07,-0.0578
-1.08124e-07,-0.0581
-1.07724e-07,-0.0578
-1.07324e-07,-0.0575
-1.06924e-07,-0.0574
-1.06524e-07,-0.0572
-1.06124e-07,-0.057
-1.05724e-07,-0.0569
-1.05324e-07,-0.0564
-1.04924e-07,-0.0564
-1.04524e-07,-0.056
-1.04124e-07,-0.0566
-1.03724e-07,-0.0559
-1.03324e-07,-0.0555
-1.02924e-07,-0.0555
-1.02524e-07,-0.0556
-1.02124e-07,-0.0552
-1.01724e-07,-0.0551
-1.01324e-07,-0.0549
-1.00924e-07,-0.055
-1.00524e-07,-0.0543
-1.00124e-07,-0.0542
-9.97238e-08,-0.0539
-9.93238e-08,-0.0538
-9.89238e-08,-0.0535
-9.85238e-08,-0.0535
-9.81238e-08,-0.0531
-9.77238e-08,-0.0533
-9.73238e-08,-0.0527
-9.69238e-08,-0.0525
-9.65238e-08,-0.0522
-9.61238e-08,-0.0523
-9.57238e-08,-0.0516
-9.53238e-08,-0.0516
-9.49238e-08,-0.0515
-9.45238e-08,-0.0518
-9.41238e-08,-0.0513
-9.37238e-08,-0.0512
-9.33238e-08,-0.0508
-9.29238e-08,-0.0508
-9.25238e-08,-0.0504
-9.21238e-08,-0.0504
-9.17238e-08,-0.05
-9.13238e-08,-0.05
-9.09238e-08,-0.0495
-9.05238e-08,-0.0496
-9.01238e-08,-0.0492
-8.97238e-08,-0.0492
-8.93238e-08,-0.0486
-8.89238e-08,-0.0485
-8.85238e-08,-0.0482
-8.81238e-08,-0.0483
-8.77238e-08,-0.0478
-8.73238e-08,-0.0479
-8.69238e-08,-0.0475
-8.65238e-08,-0.0473
-8.61238e-08,-0.047
-8.57238e-08,-0.0471
-8.53238e-08,-0.0467
-8.49238e-08,-0.0466
-8.45238e-08,-0.046
-8.41238e-08,-0.0462
-8.37238e-08,-0.0455
-8.33238e-08,-0.0459
-8.29238e-08,-0.0456
-8.25238e-08,-0.0454
-8.21238e-08,-0.0452
-8.17238e-08,-0.0449
-8.13238e-08,-0.0447
-8.09238e-08,-0.0444
-8.05238e-08,-0.044
-8.01238e-08,-0.044
-7.97238e-08,-0.0436
-7.93238e-08,-0.0436
-7.89238e-08,-0.0429
-7.85238e-08,-0.043
-7.81238e-08,-0.0428
-7.77238e-08,-0.0426
-7.73238e-08,-0.0421
-7.69238e-08,-0.0421
-7.65238e-08,-0.0413
-7.61238e-08,-0.0417
-7.57238e-08,-0.0413
-7.53238e-08,-0.0415
-7.49238e-08,-0.0408
-7.45238e-08,-0.041
-7.41238e-08,-0.0409
-7.37238e-08,-0.0407
-7.33238e-08,-0.0404
-7.29238e-08,-0.0407
-7.25238e-08,-0.0401
-7.21238e-08,-0.0397
-7.17238e-08,-0.039
-7.13238e-08,-0.0389
-7.09238e-08,-0.0387
-7.05238e-08,-0.0388
-7.01238e-08,-0.0385
-6.97238e-08,-0.0385
-6.93238e-08,-0.0382
-6.89238e-08,-0.0379
-6.85238e-08,-0.0375
-6.81238e-08,-0.0374
-6.77238e-08,-0.0369
-6.73238e-08,-0.0369
-6.69238e-08,-0.0365
-6.65238e-08,-0.0367
-6.61238e-08,-0.0363
-6.57238e-08,-0.0359
-6.53238e-08,-0.0354
-6.49238e-08,-0.0355
-6.45238e-08,-0.0351
-6.41238e-08,-0.0352
-6.37238e-08,-0.0346
-6.33238e-08,-0.0345
-6.29238e-08,-0.0345
-6.25238e-08,-0.0344
-6.21238e-08,-0.0341
-6.17238e-08,-0.0343
-6.13238e-08,-0.0336
-6.09238e-08,-0.0333
-6.05238e-08,-0.033
-6.01238e-08,-0.0327
-5.97238e-08,-0.0325
-5.93238e-08,-0.0326
-5.89238e-08,-0.032
-5.85238e-08,-0.0319
-5.81238e-08,-0.0315
-5.77238e-08,-0.0316
-5.73238e-08,-0.0313
-5.69238e-08,-0.0312
-5.65238e-08,-0.0306
-5.61238e-08,-0.0307
-5.57238e-08,-0.03
-5.53238e-08,-0.03
-5.49238e-08,-0.0299
-5.45238e-08,-0.0296
-5.41238e-08,-0.0293
-5.37238e-08,-0.0292
-5.33238e-08,-0.0288
-5.29238e-08,-0.0288
-5.25238e-08,-0.0284
-5.21238e-08,-0.0284
-5.17238e-08,-0.028
-5.13238e-08,-0.028
-5.09238e-08,-0.0276
-5.05238e-08,-0.0275
-5.01238e-08,-0.0276
-4.97238e-08,-0.0276
-4.93238e-08,-0.027
-4.89238e-08,-0.0267
-4.85238e-08,-0.0265
-4.81238e-08,-0.0264
-4.77238e-08,-0.0258
-4.73238e-08,-0.0257
-4.69238e-08,-0.0254
-4.65238e-08,-0.0253
-4.61238e-08,-0.0245
-4.57238e-08,-0.0244
-4.53238e-08,-0.0239
-4.49238e-08,-0.0237
-4.45238e-08,-0.0234
-4.41238e-08,-0.0232
-4.37238e-08,-0.023
-4.33238e-08,-0.0231
-4.29238e-08,-0.0226
-4.25238e-08,-0.0221
-4.21238e-08,-0.022
-4.17238e-08,-0.0224
-4.13238e-08,-0.0218
-4.09238e-08,-0.0216
-4.05238e-08,-0.0213
