Timestamp,x,y,z,CH3_MAXIMUM,CH3_FREQUENCY
2025-01-23 15:16:19, 359.8, 90.0, 250.1, 419.4636363636396E-3, 13.9823523670137E+6
2025-01-23 15:16:25, 379.8, 90.0, 250.1, 418.3013563501887E-3, 13.9723210640881E+6
2025-01-23 15:16:31, 399.8, 90.0, 250.1, 416.1536231884087E-3, 13.9644195617492E+6
2025-01-23 15:16:38, 359.8, 110.0, 250.1, 414.0276432368607E-3, 14.215716784900E+6
2025-01-23 15:16:44, 379.8, 110.0, 250.1, 414.2027777777803E-3, 14.2058834955221E+6
2025-01-23 15:16:51, 399.8, 110.0, 250.1, 413.623089983024E-3, 14.1919495652298E+6
2025-01-23 15:16:57, 359.8, 130.0, 250.1, 409.7694013303794E-3, 14.4689021996431E+6
2025-01-23 15:17:04, 379.8, 130.0, 250.1, 408.3570032573311E-3, 14.4523757957330E+6
2025-01-23 15:17:10, 399.8, 130.0, 250.1, 406.0048962213970E-3, 14.6092985571600E+6
2025-01-23 15:17:18, 359.8, 90.0, 270.1, 400.6573514077189E-3, 14.5871055054353E+6
2025-01-23 15:17:24, 379.8, 90.0, 270.1, 396.3239263803703E-3, 14.5663645215433E+6
2025-01-23 15:17:31, 399.8, 90.0, 270.1, 391.8129453085826E-3, 15.3286153342676E+6
2025-01-23 15:17:38, 359.8, 110.0, 270.1, 387.4771653543334E-3, 15.2942888686153E+6
2025-01-23 15:17:45, 379.8, 110.0, 270.1, 384.3108748187552E-3, 15.262120810503E+6
2025-01-23 15:17:52, 399.8, 110.0, 270.1, 380.8501424501440E-3, 15.2310889211729E+6
2025-01-23 15:17:59, 359.8, 130.0, 270.1, 376.5671641791053E-3, 15.2003993383140E+6
2025-01-23 15:18:06, 379.8, 130.0, 270.1, 372.9789184234663E-3, 15.2468271700603E+6
2025-01-23 15:18:12, 399.8, 130.0, 270.1, 369.2560612888703E-3, 15.2193433984778E+6
2025-01-23 15:18:20, 359.8, 90.0, 290.1, 364.5361702127670E-3, 18.5864213426704E+6
2025-01-23 15:18:26, 379.8, 90.0, 290.1, 360.2072394243361E-3, 18.5029451027857E+6
2025-01-23 15:18:33, 399.8, 90.0, 290.1, 355.8860085836922E-3, 18.422185443495E+6
2025-01-23 15:18:40, 359.8, 110.0, 290.1, 351.5306036302246E-3, 20.6145689185680E+6
2025-01-23 15:18:47, 379.8, 110.0, 290.1, 347.707852098049E-3, 20.5004895275352E+6
2025-01-23 15:18:54, 399.8, 110.0, 290.1, 344.0478100695885E-3, 20.3986470375875E+6
2025-01-23 15:19:01, 359.8, 130.0, 290.1, 340.1129032258082E-3, 26.1686677584729E+6
2025-01-23 15:19:08, 379.8, 130.0, 290.1, 336.3774424146164E-3, 29.6823989509413E+6
2025-01-23 15:19:15, 399.8, 130.0, 290.1, 332.7686888454028E-3, 30.9210162049303E+6
