Timestamp, x, y, z, CH2_MAXIMUM, CH2_PK2PK, CH2_FREQUENCY
2025-01-17 12:05:13, 394.8, -5.0, 480.1, 5.1462126137841E-3, 10.2419335175553E-3, 9.91E+37
2025-01-17 12:05:19, 404.8, -5.0, 480.1, 5.1455877791563E-3, 10.2413732940447E-3, 9.91E+37
2025-01-17 12:05:26, 394.8, 5.0, 480.1, 5.1470675355450E-3, 10.2409471267772E-3, 9.91E+37
2025-01-17 12:05:32, 404.8, 5.0, 480.1, 5.14667968750E-3, 10.2388316761363E-3, 9.91E+37
2025-01-17 12:05:38, 394.8, -5.0, 490.1, 5.1465611353712E-3, 10.2365925218340E-3, 9.91E+37
2025-01-17 12:05:45, 404.8, -5.0, 490.1, 5.1455600734523E-3, 10.2357686253935E-3, 9.91E+37
2025-01-17 12:05:51, 394.8, 5.0, 490.1, 5.1454752275025E-3, 10.2360654701719E-3, 9.91E+37
2025-01-17 12:05:58, 404.8, 5.0, 490.1, 5.1449043615984E-3, 10.2353039717349E-3, 9.91E+37
