Timestamp,x,y,z,CH1_MAXIMUM
2025-01-23 15:04:19, 369.7, 100.0, 250.1, 158.3686909986753E-3
2025-01-23 15:04:25, 379.7, 100.0, 250.1, 160.5172829747046E-3
2025-01-23 15:04:31, 389.7, 100.0, 250.1, 162.6766439332250E-3
2025-01-23 15:04:38, 369.7, 110.0, 250.1, 164.5331778908271E-3
2025-01-23 15:04:44, 379.7, 110.0, 250.1, 166.6173151634094E-3
2025-01-23 15:04:50, 389.7, 110.0, 250.1, 168.9000555908515E-3
2025-01-23 15:04:56, 369.7, 120.0, 250.1, 170.371761811024E-3
2025-01-23 15:05:03, 379.7, 120.0, 250.1, 172.0548632812500E-3
2025-01-23 15:05:09, 389.7, 120.0, 250.1, 173.5900678294573E-3
2025-01-23 15:05:15, 369.7, 100.0, 260.1, 174.1183681517390E-3
2025-01-23 15:05:22, 379.7, 100.0, 260.1, 174.9428323412698E-3
2025-01-23 15:05:28, 389.7, 100.0, 260.1, 175.5863469403211E-3
2025-01-23 15:05:35, 369.7, 110.0, 260.1, 176.2108083483618E-3
2025-01-23 15:05:42, 379.7, 110.0, 260.1, 176.9543878616163E-3
2025-01-23 15:05:48, 389.7, 110.0, 260.1, 177.5358986456482E-3
2025-01-23 15:05:55, 369.7, 120.0, 260.1, 177.9441970843125E-3
2025-01-23 15:06:01, 379.7, 120.0, 260.1, 178.5928525874635E-3
2025-01-23 15:06:08, 389.7, 120.0, 260.1, 179.1430761577423E-3
2025-01-23 15:06:15, 369.7, 100.0, 270.1, 179.1252963362068E-3
2025-01-23 15:06:21, 379.7, 100.0, 270.1, 179.210999893040E-3
2025-01-23 15:06:28, 389.7, 100.0, 270.1, 179.1603818657983E-3
2025-01-23 15:06:35, 369.7, 110.0, 270.1, 179.110846983971E-3
2025-01-23 15:06:42, 379.7, 110.0, 270.1, 179.2088730796089E-3
2025-01-23 15:06:48, 389.7, 110.0, 270.1, 179.2700416088765E-3
2025-01-23 15:06:55, 369.7, 120.0, 270.1, 179.1982868457299E-3
2025-01-23 15:07:02, 379.7, 120.0, 270.1, 179.178120725034E-3
2025-01-23 15:07:09, 389.7, 120.0, 270.1, 179.1287556015751E-3
