Timestamp, Run, CH1_RMS, CH1_RMS, CH2_RMS, CH2_RMS, CH1_MEAN, CH1_MEAN, CH2_MEAN, CH2_MEAN
2024-12-20 17:40:19, 1, 3.1920036581857E-3, 3.1920194197062E-3, 1.222129480110E-3, 1.222129480110E-3, -2.6698169816984E-3, -2.4903043710367E-3, -165.386069856986E-6, -165.386069856986E-6
2024-12-20 17:40:25, 1, 3.1921166599605E-3, 3.1921325603906E-3, 1.3334606475711E-3, 1.3334606475711E-3, -2.8775448973471E-3, -2.4903948506826E-3, -266.0024931064539E-6, -266.0024931064539E-6
2024-12-20 17:40:32, 1, 3.192118937840E-3, 3.1921348396092E-3, 1.3245534793033E-3, 1.3245534793033E-3, -2.8397589758978E-3, -2.4903987038734E-3, -259.654090409041E-6, -259.654090409041E-6
2024-12-20 17:40:37, 1, 3.1920947586841E-3, 3.1920859699823E-3, 1.3161082590753E-3, 1.3161082590753E-3, -2.7034503450347E-3, -2.4903685410765E-3, -184.236079857986E-6, -184.236079857986E-6
2024-12-20 17:40:43, 1, 3.1921411971165E-3, 3.1921571193785E-3, 1.29642596020E-3, 1.29642596020E-3, -2.7563679444870E-3, -2.4904287877607E-3, -116.1743578203976E-6, -116.1743578203976E-6
2024-12-20 17:40:49, 1, 3.1922639786288E-3, 3.1922800473362E-3, 1.2832655589158E-3, 1.2832655589158E-3, -2.7950268711084E-3, -2.4905345356411E-3, -41.4374496660194E-6, -41.4374496660194E-6
2024-12-20 17:40:55, 1, 3.1924399440005E-3, 3.1924562232394E-3, 1.2953788482556E-3, 1.2953788482556E-3, -2.8291199490322E-3, -2.4906868040160E-3, -88.1868858182116E-6, -88.1868858182116E-6
2024-12-20 17:41:02, 1, 3.1924658273578E-3, 3.1924821362277E-3, 1.2980151521767E-3, 1.2980151521767E-3, -2.8238341075489E-3, -2.4907105543851E-3, -75.5710808149781E-6, -75.5710808149781E-6
